Instance,n,m,c,variables,soft,Constraints,Peak,Status,Time
MERTENS,7,6,6,141,0,772,164,Optimal,0.002590179443359375
MERTENS,7,2,18,334,0,1819,54,Optimal,0.009098291397094727
MERTENS,7,5,7,146,0,697,141,Optimal,0.002588510513305664
MERTENS,7,5,8,166,0,854,141,Optimal,0.0028579235076904297
MERTENS,7,3,10,178,0,711,99,Optimal,0.003294229507446289
MERTENS,7,2,15,271,0,1132,62,Optimal,0.004790306091308594
BOWMAN,8,5,20,386,0,1897,146,Optimal,0.010800600051879883
JAESCHKE,9,8,6,200,0,730,173,Optimal,0.0032138824462890625
JAESCHKE,9,3,18,448,0,2597,47,Optimal,0.01293039321899414
JAESCHKE,9,6,8,220,0,801,104,Optimal,0.0034971237182617188
JAESCHKE,9,4,10,246,0,1117,91,Optimal,0.0044176578521728516
JAESCHKE,9,3,18,448,0,2597,47,Optimal,0.014167308807373047
JACKSON,11,8,7,281,0,1741,166,Optimal,0.00513768196105957
JACKSON,11,3,21,645,0,5395,57,Optimal,0.0443422794342041
JACKSON,11,6,9,310,0,2158,142,Optimal,0.0054399967193603516
JACKSON,11,5,10,325,0,2340,121,Optimal,0.007847070693969727
JACKSON,11,4,13,401,0,2768,90,Optimal,0.01959991455078125
JACKSON,11,4,14,434,0,3008,83,Optimal,0.030623674392700195
MANSOOR,11,4,48,1280,0,10311,111,Optimal,0.029010772705078125
MANSOOR,11,2,94,2754,0,26417,71,Optimal,0.07496476173400879
MANSOOR,11,3,62,1721,0,15057,99,Optimal,0.02570939064025879
MITCHELL,21,8,14,898,0,6001,225,Optimal,0.07639575004577637
MITCHELL,21,3,39,2331,0,22639,84,Optimal,0.21006035804748535
MITCHELL,21,8,15,965,0,7338,204,Optimal,0.22916603088378906
MITCHELL,21,5,21,1255,0,9737,160,Optimal,0.0526885986328125
MITCHELL,21,5,26,1578,0,16700,117,Optimal,1.6476902961730957
MITCHELL,21,3,35,2075,0,16527,101,Optimal,0.1121211051940918
ROSZIEG,25,10,14,1181,0,19610,242,Optimal,0.36841630935668945
ROSZIEG,25,4,32,2294,0,29464,118,Optimal,0.5030841827392578
ROSZIEG,25,6,25,1853,0,28546,135,Optimal,70.44240927696228
ROSZIEG,25,8,16,1239,0,15348,221,Optimal,0.07462072372436523
ROSZIEG,25,8,18,1404,0,23092,186,Optimal,38.19400215148926
ROSZIEG,25,6,21,1544,0,19675,163,Optimal,0.5251104831695557
HESKIA,28,8,138,9928,0,402666,229,Optimal,2339.9354383945465
HESKIA,28,3,342,26792,0,685379,97,Optimal,740.8913550376892
HESKIA,28,5,205,15391,0,473558,156,Optimal,828.8013215065002
HESKIA,28,5,216,16317,0,520759,148,Optimal,1739.1663320064545
HESKIA,28,4,256,19624,0,587460,127,Optimal,1910.2360894680023
BUXEY,29,7,47,3750,0,82414,184,Optimal,2.263543128967285
BUXEY,29,8,41,3283,0,84917,194,Optimal,178.84994053840637
BUXEY,29,13,27,2284,0,62155,292,Optimal,991.9473164081573
BUXEY,29,12,30,2509,0,76072,262,Time Limit Exceeded,3599.3223934173584
BUXEY,29,10,36,2949,0,88654,220,Time Limit Exceeded,3599.155986070633
SAWYER,30,14,25,2289,0,80335,282,Optimal,585.1818203926086
SAWYER,30,7,47,3917,0,101334,158,Optimal,3.852688789367676
SAWYER,30,8,41,3434,0,102376,168,Optimal,1104.5969264507294
SAWYER,30,12,30,2644,0,96140,231,Time Limit Exceeded,3599.3541827201843
SAWYER,30,13,27,2411,0,78863,268,Optimal,2792.473953485489
SAWYER,30,11,33,2858,0,96187,207,Time Limit Exceeded,3600.013205766678
SAWYER,30,10,36,3075,0,94652,192,Time Limit Exceeded,3599.151371717453
GUNTHER,35,9,54,5216,0,180552,262,Optimal,1.2561662197113037
GUNTHER,35,9,61,5967,0,241844,219,Optimal,3480.5597631931305
GUNTHER,35,14,41,4120,0,167615,342,Optimal,0.531851053237915
GUNTHER,35,12,44,4326,0,158311,319,Optimal,0.7816622257232666
GUNTHER,35,11,49,4806,0,189466,276,Optimal,35.71086883544922
GUNTHER,35,8,69,6740,0,243198,194,Time Limit Exceeded,3599.324487686157
GUNTHER,35,7,81,7944,0,276417,165,Time Limit Exceeded,3599.2350029945374
WARNECKE,58,25,65,10496,0,1145280,723,Time Limit Exceeded,3599.4182834625244
WARNECKE,58,29,56,9325,0,1158526,836,Time Limit Exceeded,3599.498372077942
WARNECKE,58,29,58,9705,0,1290729,816,Time Limit Exceeded,3599.6971802711487
WARNECKE,58,27,60,9820,0,1142687,793,Time Limit Exceeded,3599.1897428035736
WARNECKE,58,27,62,10170,0,1186704,773,Time Limit Exceeded,3599.527421236038
WARNECKE,58,24,68,10996,0,1339637,686,Time Limit Exceeded,3599.790731906891
WARNECKE,58,23,71,11406,0,1297470,663,Time Limit Exceeded,3600.3895568847656
WARNECKE,58,22,74,11852,0,1379134,635,Time Limit Exceeded,3600.4395880699158
WARNECKE,58,21,78,12441,0,1364331,598,Time Limit Exceeded,3599.7729184627533
WARNECKE,58,25,65,10496,0,1145280,723,Time Limit Exceeded,3599.313334465027
WARNECKE,58,31,54,9114,0,1083528,904,Time Limit Exceeded,3599.3715019226074
WARNECKE,58,19,86,13637,0,1371237,542,Time Limit Exceeded,3600.38280749321
WARNECKE,58,17,97,15367,0,1441045,483,Time Limit Exceeded,3599.6223373413086
